drivetrain,mpg,fuel_type,mileage,price,brand,year,engine_size,cylinders,transmission_type,gears,boost,model,price_log,boost_supercharged,boost_turbo,transmission_type_manual,brand_BMW,brand_Merc,fuel_type_Electric,fuel_type_Gasoline,fuel_type_Hybrid,drivetrain_FWD,drivetrain_RWD
AWD,26.0,Gasoline,11874,39926.0,Merc,2017,2.0,4.0,automatic,7.0,turbo, C-Class C 300 4MATIC,10.5947830197326,0,1,0,0,1,0,1,0,0,0
RWD,29.0,Gasoline,46569,27495.0,Merc,2017,2.0,4.0,automatic,7.0,turbo, C-Class C 300,10.221759448941915,0,1,0,0,1,0,1,0,0,1
RWD,25.5,Gasoline,23863,46897.0,Merc,2020,2.0,4.0,automatic,9.0,turbo, GLC 300 Base,10.755708986503604,0,1,0,0,1,0,1,0,0,1
AWD,19.5,Gasoline,35317,58999.0,Merc,2018,3.0,6.0,automatic,9.0,turbo, GLS 450 Base 4MATIC,10.985275773591676,0,1,0,0,1,0,1,0,0,0
RWD,20.0,Gasoline,69671,26999.0,Merc,2013,4.7,8.0,automatic,7.0,turbo, S-Class S 550,10.203555107263542,0,1,0,0,1,0,1,0,0,1
RWD,20.5,Gasoline,61321,37519.0,Merc,2018,3.5,6.0,automatic,7.0,none, GLE 350 Base,10.532602750312952,0,0,0,0,1,0,1,0,0,1
RWD,25.0,Gasoline,15540,50974.0,Merc,2019,2.0,4.0,automatic,9.0,turbo, C-Class C 300,10.839070977790692,0,1,0,0,1,0,1,0,0,1
AWD,21.0,Gasoline,126100,37825.0,Merc,2015,4.7,8.0,automatic,7.0,turbo, S-Class S 550 4MATIC,10.540725538656556,0,1,0,0,1,0,1,0,0,0
AWD,25.5,Gasoline,88894,28500.0,Merc,2017,2.0,4.0,automatic,9.0,turbo, E-Class E 300,10.257659366256744,0,1,0,0,1,0,1,0,0,0
RWD,28.5,Gasoline,31477,34888.0,Merc,2018,2.0,4.0,automatic,9.0,turbo, C-Class C 300,10.459898209522605,0,1,0,0,1,0,1,0,0,1
AWD,18.5,Gasoline,121957,12981.0,Merc,2012,3.5,6.0,automatic,7.0,none, GLK-Class GLK 350,9.471242028892997,0,0,0,0,1,0,1,0,0,0
RWD,25.5,Gasoline,89688,19621.0,Merc,2014,3.5,6.0,automatic,7.0,none, E-Class E 350,9.884355700220102,0,0,0,0,1,0,1,0,0,1
RWD,20.5,Gasoline,23929,41895.0,Merc,2018,3.5,6.0,automatic,7.0,none, GLE 350 Base,10.642921767047389,0,0,0,0,1,0,1,0,0,1
AWD,29.0,Gasoline,18778,34590.0,Merc,2019,2.0,4.0,automatic,7.0,turbo, A-Class A 220 4MATIC,10.451319901931214,0,1,0,0,1,0,1,0,0,0
AWD,22.5,Gasoline,13769,73999.0,Merc,2020,2.0,4.0,automatic,9.0,turbo, GLE 350 Base 4MATIC,11.211806858581484,0,1,0,0,1,0,1,0,0,0
AWD,27.0,Gasoline,61854,28597.0,Merc,2018,2.0,4.0,automatic,7.0,turbo, GLA 250,10.261057096201172,0,1,0,0,1,0,1,0,0,0
AWD,27.5,Gasoline,39486,36000.0,Merc,2018,2.0,4.0,automatic,9.0,turbo, C-Class C 300 4MATIC,10.491274217438248,0,1,0,0,1,0,1,0,0,0
RWD,28.5,Gasoline,25927,36591.0,Merc,2018,2.0,4.0,automatic,9.0,turbo, C-Class C 300,10.507557587511348,0,1,0,0,1,0,1,0,0,1
RWD,26.0,Gasoline,39984,31999.0,Merc,2017,2.0,4.0,automatic,9.0,turbo, E-Class E 300 Sport,10.373459931293572,0,1,0,0,1,0,1,0,0,1
AWD,24.5,Gasoline,20464,39945.0,Merc,2019,2.0,4.0,automatic,9.0,turbo, GLC 300 Base 4MATIC,10.595258786916142,0,1,0,0,1,0,1,0,0,0
FWD,26.5,Gasoline,12590,46470.0,Merc,2020,2.0,4.0,automatic,8.0,turbo, GLB 250 Base,10.746562222079024,0,1,0,0,1,0,1,0,1,0
AWD,27.5,Gasoline,45651,32500.0,Merc,2018,2.0,4.0,automatic,9.0,turbo, C-Class C 300 4MATIC,10.388995368317827,0,1,0,0,1,0,1,0,0,0
AWD,22.5,Gasoline,10868,69000.0,Merc,2020,2.0,4.0,automatic,9.0,turbo, GLE 350 Base 4MATIC,11.141861783579396,0,1,0,0,1,0,1,0,0,0
AWD,25.5,Gasoline,51150,36000.0,Merc,2017,2.0,4.0,automatic,9.0,turbo, E-Class E 300,10.491274217438248,0,1,0,0,1,0,1,0,0,0
AWD,24.5,Gasoline,48381,36500.0,Merc,2018,2.0,4.0,automatic,9.0,turbo, GLC 300 Base 4MATIC,10.505067539570582,0,1,0,0,1,0,1,0,0,0
RWD,20.5,Gasoline,33620,44999.0,Merc,2018,3.5,6.0,automatic,7.0,none, GLE 350 Base,10.714395546283315,0,0,0,0,1,0,1,0,0,1
AWD,19.5,Gasoline,92283,22697.0,Merc,2015,3.5,6.0,automatic,7.0,none, M-Class ML 350 4MATIC,10.02998803614547,0,0,0,0,1,0,1,0,0,0
AWD,27.5,Gasoline,22228,35995.0,Merc,2018,2.0,4.0,automatic,9.0,turbo, C-Class C 300 4MATIC,10.491135318903403,0,1,0,0,1,0,1,0,0,0
AWD,21.0,Gasoline,89287,47981.0,Merc,2016,4.7,8.0,automatic,7.0,turbo, S-Class S 550 4MATIC,10.778560378194,0,1,0,0,1,0,1,0,0,0
